seller_id,seller_zip_code_prefix,seller_city,seller_state,seller_name
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,Rael Nogueira
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,Luiza da Paz
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,Ísis Azevedo
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,Maya Guerra
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,Bento Montenegro
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,José Pedro Caldeira
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,Luísa Duarte
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,Ana Vitória Jesus
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,Emanuelly Monteiro
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,Luiz Felipe Cunha
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,Júlia Cardoso
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,Mariana Sousa
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,Liz Jesus
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,Alexandre Caldeira
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,Luna Jesus
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,Luiz Henrique Montenegro
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,Arthur Melo
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,Ian Peixoto
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,Pedro Lucas Siqueira
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,Gustavo Henrique Sampaio
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,Isadora Vasconcelos
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,Stephany da Luz
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,Bruno Rios
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,Brenda Ribeiro
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,Maria Alice Moura
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,Leandro da Cunha
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,Arthur Gabriel Campos
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,Valentim Brito
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,Josué Jesus
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,Lavínia Cardoso
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,Caroline Rodrigues
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,Miguel da Cruz
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,Ana Laura Almeida
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,Maria Eduarda Almeida
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,Cauã Alves
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,Yago Ribeiro
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,Yasmin Aragão
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,Maria Julia Moreira
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,Arthur Pimenta
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,Emanuelly Sampaio
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,Ian Ribeiro
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,Amanda Fogaça
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,Eloá Siqueira
5c030029b5916fed0986310385ec9009,88075,sao jose,SC,Ana Júlia Sá
